coin,hold_pnl_pct,current_rule_pnl_pct,best_rule_pnl_pct,best_rule_id,best_backstop,best_trailing,best_min_profit
KRW-ADA,-45.12,-41.70,-5.84,40,-0.150,-0.100,0.080
KRW-AVAX,-72.61,-63.51,-37.82,100,-0.300,-0.100,0.080
KRW-BTC,18.62,10.42,17.91,35,-0.150,-0.070,0.080
KRW-DOGE,-38.10,-45.78,-16.26,50,-0.200,-0.050,0.080
KRW-DOT,-80.40,-61.57,-50.51,87,-0.300,-0.050,0.020
KRW-ETH,-23.58,-28.59,1.42,57,-0.200,-0.100,0.020
KRW-LINK,-29.38,-26.02,-1.19,72,-0.250,-0.070,0.020
KRW-SOL,-36.50,-32.76,-6.13,78,-0.250,-0.100,0.030
KRW-SUI,-17.32,-61.91,-9.92,100,-0.300,-0.100,0.080
KRW-XRP,190.70,-3.24,33.81,89,-0.300,-0.050,0.050
