coin,rule_id,backstop_pct,trailing_pct,min_profit,base_pct,pnl_pct,max_dd_pct,n_buys,n_sells
KRW-ADA,7,-0.100,-0.050,0.020,0.30,-44.300,-51.465,595,64
KRW-ADA,6,-0.100,-0.050,0.000,0.30,-46.703,-53.946,671,75
KRW-ADA,5,-0.100,-0.030,0.080,0.30,-44.056,-53.254,877,129
KRW-ADA,2,-0.100,-0.030,0.020,0.30,-41.985,-51.457,909,134
KRW-ADA,8,-0.100,-0.050,0.030,0.30,-44.770,-51.734,579,62
KRW-ADA,3,-0.100,-0.030,0.030,0.30,-42.269,-51.860,910,134
KRW-ADA,9,-0.100,-0.050,0.050,0.30,-43.881,-52.883,575,61
KRW-ADA,11,-0.100,-0.070,0.000,0.30,-47.217,-54.384,574,63
KRW-ADA,4,-0.100,-0.030,0.050,0.30,-42.323,-51.806,888,130
KRW-ADA,10,-0.100,-0.050,0.080,0.30,-42.049,-51.231,564,62
KRW-ADA,12,-0.100,-0.070,0.020,0.30,-43.099,-53.137,514,54
KRW-ADA,1,-0.100,-0.030,0.000,0.30,-43.175,-50.452,942,141
KRW-ADA,15,-0.100,-0.070,0.080,0.30,-40.943,-52.206,483,52
KRW-ADA,16,-0.100,-0.100,0.000,0.30,-43.122,-52.544,529,54
KRW-ADA,18,-0.100,-0.100,0.030,0.30,-40.930,-51.226,419,42
KRW-ADA,19,-0.100,-0.100,0.050,0.30,-41.194,-53.626,380,37
KRW-ADA,22,-0.150,-0.030,0.020,0.30,-35.153,-49.249,746,94
KRW-ADA,21,-0.150,-0.030,0.000,0.30,-40.833,-51.575,845,109
KRW-ADA,23,-0.150,-0.030,0.030,0.30,-34.844,-49.369,751,94
KRW-ADA,13,-0.100,-0.070,0.030,0.30,-43.580,-53.533,498,52
KRW-ADA,14,-0.100,-0.070,0.050,0.30,-42.463,-53.436,486,51
KRW-ADA,24,-0.150,-0.030,0.050,0.30,-35.026,-49.400,728,91
KRW-ADA,17,-0.100,-0.100,0.020,0.30,-42.525,-51.947,462,45
KRW-ADA,20,-0.100,-0.100,0.080,0.30,-39.796,-52.524,367,36
KRW-ADA,25,-0.150,-0.030,0.080,0.30,-36.278,-50.374,729,92
KRW-ADA,27,-0.150,-0.050,0.020,0.30,-40.914,-52.009,495,46
KRW-ADA,26,-0.150,-0.050,0.000,0.30,-44.458,-53.229,603,58
KRW-ADA,30,-0.150,-0.050,0.080,0.30,-42.622,-53.446,471,43
KRW-ADA,33,-0.150,-0.070,0.030,0.30,-44.560,-55.225,385,30
KRW-ADA,34,-0.150,-0.070,0.050,0.30,-44.665,-55.247,377,29
KRW-ADA,35,-0.150,-0.070,0.080,0.30,-42.699,-53.534,355,28
KRW-ADA,36,-0.150,-0.100,0.000,0.30,-43.464,-54.584,493,42
KRW-ADA,28,-0.150,-0.050,0.030,0.30,-41.918,-52.824,479,44
KRW-ADA,29,-0.150,-0.050,0.050,0.30,-42.067,-52.824,473,43
KRW-ADA,32,-0.150,-0.070,0.020,0.30,-39.925,-51.916,396,32
KRW-ADA,31,-0.150,-0.070,0.000,0.30,-46.433,-55.096,516,46
KRW-ADA,37,-0.150,-0.100,0.020,0.30,-43.311,-54.316,413,32
KRW-ADA,38,-0.150,-0.100,0.030,0.30,-46.371,-56.798,404,30
