rank,rule_id,backstop_pct,trailing_pct,min_profit,avg_pnl_pct,worst_pnl_pct,best_pnl_pct
1,100,-0.300,-0.100,0.080,-16.52,-36.48,25.50
2,90,-0.300,-0.050,0.080,-17.62,-37.46,22.34
3,80,-0.250,-0.100,0.080,-17.89,-39.73,22.59
4,50,-0.200,-0.050,0.080,-18.23,-38.38,23.84
5,60,-0.200,-0.100,0.080,-18.27,-37.70,28.53
6,95,-0.300,-0.070,0.080,-18.49,-39.45,20.08
7,55,-0.200,-0.070,0.080,-18.62,-40.17,27.05
8,40,-0.150,-0.100,0.080,-18.89,-40.09,28.02
9,70,-0.250,-0.050,0.080,-18.89,-45.44,13.01
10,89,-0.300,-0.050,0.050,-19.07,-47.94,20.61
11,99,-0.300,-0.100,0.050,-19.13,-37.51,21.86
12,75,-0.250,-0.070,0.080,-19.53,-46.95,18.98
13,97,-0.300,-0.100,0.020,-19.64,-40.00,20.65
14,48,-0.200,-0.050,0.030,-19.74,-44.17,22.12
15,59,-0.200,-0.100,0.050,-19.82,-49.89,28.47
16,54,-0.200,-0.070,0.050,-20.04,-41.70,25.49
17,49,-0.200,-0.050,0.050,-20.04,-44.85,21.01
18,52,-0.200,-0.070,0.020,-20.16,-41.07,26.34
19,85,-0.300,-0.030,0.080,-20.17,-41.25,19.91
20,94,-0.300,-0.070,0.050,-20.18,-49.94,17.77
84,31,-0.150 (현재),-0.070,0.000,-24.31,-54.82,17.70
