coin,rule_id,backstop_pct,trailing_pct,min_profit,base_pct,pnl_pct,max_dd_pct,n_buys,n_sells
KRW-ADA,2,-0.100,-0.030,0.020,0.30,5.098,-11.330,11,9
KRW-ADA,3,-0.100,-0.030,0.030,0.30,5.098,-11.330,11,9
KRW-ADA,4,-0.100,-0.030,0.050,0.30,5.098,-11.330,11,9
KRW-ADA,5,-0.100,-0.030,0.080,0.30,5.098,-11.330,11,9
KRW-ADA,6,-0.100,-0.050,0.000,0.30,-0.048,-11.330,11,9
KRW-ADA,9,-0.100,-0.050,0.050,0.30,-0.048,-11.330,11,9
KRW-ADA,8,-0.100,-0.050,0.030,0.30,-0.048,-11.330,11,9
KRW-ADA,10,-0.100,-0.050,0.080,0.30,-0.048,-11.330,11,9
KRW-ADA,12,-0.100,-0.070,0.020,0.30,-9.652,-17.604,11,9
KRW-ADA,11,-0.100,-0.070,0.000,0.30,-9.652,-17.604,11,9
KRW-ADA,13,-0.100,-0.070,0.030,0.30,-9.652,-17.604,11,9
KRW-ADA,14,-0.100,-0.070,0.050,0.30,-9.652,-17.604,11,9
KRW-ADA,15,-0.100,-0.070,0.080,0.30,-9.652,-17.604,11,9
KRW-ADA,16,-0.100,-0.100,0.000,0.30,-6.054,-18.071,11,9
KRW-ADA,17,-0.100,-0.100,0.020,0.30,-6.054,-18.071,11,9
KRW-ADA,19,-0.100,-0.100,0.050,0.30,-6.054,-18.071,11,9
KRW-ADA,18,-0.100,-0.100,0.030,0.30,-6.054,-18.071,11,9
KRW-ADA,7,-0.100,-0.050,0.020,0.30,-0.048,-11.330,11,9
KRW-ADA,1,-0.100,-0.030,0.000,0.30,5.098,-11.330,11,9
KRW-ADA,25,-0.150,-0.030,0.080,0.30,4.855,-11.330,11,9
KRW-ADA,22,-0.150,-0.030,0.020,0.30,4.855,-11.330,11,9
KRW-ADA,27,-0.150,-0.050,0.020,0.30,-0.280,-11.330,11,9
KRW-ADA,28,-0.150,-0.050,0.030,0.30,-0.280,-11.330,11,9
KRW-ADA,29,-0.150,-0.050,0.050,0.30,-0.280,-11.330,11,9
KRW-ADA,30,-0.150,-0.050,0.080,0.30,-0.280,-11.330,11,9
KRW-ADA,26,-0.150,-0.050,0.000,0.30,-0.280,-11.330,11,9
KRW-ADA,31,-0.150,-0.070,0.000,0.30,-10.473,-19.932,11,8
KRW-ADA,32,-0.150,-0.070,0.020,0.30,-10.473,-19.932,11,8
KRW-ADA,33,-0.150,-0.070,0.030,0.30,-10.473,-19.932,11,8
KRW-ADA,35,-0.150,-0.070,0.080,0.30,-10.473,-19.932,11,8
