coin,hold_pnl_pct,current_rule_pnl_pct,best_rule_pnl_pct,best_rule_id,best_backstop,best_trailing,best_min_profit
KRW-ADA,-39.15,-10.47,9.25,66,-0.250,-0.050,0.000
KRW-AVAX,-71.51,-5.28,4.12,41,-0.200,-0.030,0.000
KRW-BTC,21.33,-1.39,25.79,77,-0.250,-0.100,0.020
KRW-DOGE,-35.94,5.24,17.86,76,-0.250,-0.100,0.000
KRW-DOT,-80.28,-2.91,24.40,76,-0.250,-0.100,0.000
KRW-ETH,-31.96,6.01,25.38,41,-0.200,-0.030,0.000
KRW-LINK,-44.71,-0.03,14.17,44,-0.200,-0.030,0.050
KRW-SOL,-44.10,-2.07,1.02,51,-0.200,-0.070,0.000
KRW-SUI,4.93,42.71,50.81,17,-0.100,-0.100,0.020
KRW-XRP,197.29,64.26,84.61,97,-0.300,-0.100,0.020
