rank,rule_id,backstop_pct,trailing_pct,min_profit,avg_pnl_pct,worst_pnl_pct,best_pnl_pct
1,78,-0.250,-0.100,0.030,16.70,-10.48,76.55
2,76,-0.250,-0.100,0.000,16.70,-10.48,76.55
3,77,-0.250,-0.100,0.020,16.70,-10.48,76.55
4,79,-0.250,-0.100,0.050,16.70,-10.48,76.55
5,80,-0.250,-0.100,0.080,16.70,-10.48,76.55
6,100,-0.300,-0.100,0.080,15.48,-12.16,84.61
7,99,-0.300,-0.100,0.050,15.48,-12.16,84.61
8,97,-0.300,-0.100,0.020,15.48,-12.16,84.61
9,98,-0.300,-0.100,0.030,15.48,-12.16,84.61
10,96,-0.300,-0.100,0.000,15.48,-12.16,84.61
11,57,-0.200,-0.100,0.020,13.94,-12.67,76.55
12,60,-0.200,-0.100,0.080,13.94,-12.67,76.55
13,59,-0.200,-0.100,0.050,13.94,-12.67,76.55
14,56,-0.200,-0.100,0.000,13.94,-12.67,76.55
15,58,-0.200,-0.100,0.030,13.94,-12.67,76.55
16,52,-0.200,-0.070,0.020,10.91,-11.55,64.26
17,51,-0.200,-0.070,0.000,10.91,-11.55,64.26
18,54,-0.200,-0.070,0.050,10.91,-11.55,64.26
19,53,-0.200,-0.070,0.030,10.91,-11.55,64.26
20,55,-0.200,-0.070,0.080,10.91,-11.55,64.26
36,31,-0.150 (현재),-0.070,0.000,9.61,-10.47,64.26
