rank,rule_id,backstop_pct,trailing_pct,min_profit,avg_pnl_pct,worst_pnl_pct,best_pnl_pct
1,100,-0.300,-0.100,0.080,-17.26,-61.60,16.68
2,95,-0.300,-0.070,0.080,-19.92,-57.81,27.39
3,80,-0.250,-0.100,0.080,-20.07,-68.03,21.46
4,90,-0.300,-0.050,0.080,-20.70,-66.54,32.96
5,99,-0.300,-0.100,0.050,-21.15,-61.33,14.77
6,40,-0.150,-0.100,0.080,-21.44,-66.69,27.71
7,94,-0.300,-0.070,0.050,-21.60,-57.75,21.92
8,89,-0.300,-0.050,0.050,-21.82,-66.30,33.81
9,97,-0.300,-0.100,0.020,-21.91,-59.58,13.24
10,92,-0.300,-0.070,0.020,-22.27,-55.54,24.05
11,93,-0.300,-0.070,0.030,-22.43,-56.12,24.05
12,98,-0.300,-0.100,0.030,-22.83,-59.58,13.24
13,75,-0.250,-0.070,0.080,-23.01,-65.88,14.07
14,55,-0.200,-0.070,0.080,-23.04,-59.06,11.21
15,88,-0.300,-0.050,0.030,-23.20,-66.38,32.97
16,87,-0.300,-0.050,0.020,-23.26,-66.07,32.97
17,50,-0.200,-0.050,0.080,-23.55,-59.62,9.31
18,60,-0.200,-0.100,0.080,-23.59,-67.48,4.49
19,70,-0.250,-0.050,0.080,-23.74,-65.01,11.61
20,77,-0.250,-0.100,0.020,-23.86,-67.89,10.55
73,31,-0.150 (현재),-0.070,0.000,-35.47,-63.51,10.42
