coin,hold_pnl_pct,current_rule_pnl_pct,best_rule_pnl_pct,best_rule_id,best_backstop,best_trailing,best_min_profit
KRW-ADA,-43.26,-35.75,7.56,43,-0.200,-0.030,0.030
KRW-AVAX,-72.24,-59.45,-13.49,65,-0.250,-0.030,0.080
KRW-BTC,21.87,-5.62,17.74,25,-0.150,-0.030,0.080
KRW-DOGE,-34.69,-21.41,-13.97,34,-0.150,-0.070,0.050
KRW-DOT,-79.85,-63.19,-16.45,45,-0.200,-0.030,0.080
KRW-ETH,-21.30,-17.98,10.38,77,-0.250,-0.100,0.020
KRW-LINK,-28.17,12.61,31.00,33,-0.150,-0.070,0.030
KRW-SOL,-36.12,-6.06,25.53,5,-0.100,-0.030,0.080
KRW-SUI,-17.97,-14.90,21.52,96,-0.300,-0.100,0.000
KRW-XRP,193.65,11.42,80.24,97,-0.300,-0.100,0.020
