coin,hold_pnl_pct,current_rule_pnl_pct,best_rule_pnl_pct,best_rule_id,best_backstop,best_trailing,best_min_profit
KRW-ADA,120.59,62.02,74.78,77,-0.250,-0.100,0.020
KRW-AVAX,-86.21,9.22,18.41,48,-0.200,-0.050,0.030
KRW-BTC,442.80,6.08,35.32,77,-0.250,-0.100,0.020
KRW-DOGE,79.84,-0.61,22.39,76,-0.250,-0.100,0.000
KRW-DOT,-64.57,9.83,42.74,76,-0.250,-0.100,0.000
KRW-ETH,445.93,7.01,27.04,43,-0.200,-0.030,0.030
KRW-LINK,-2.83,22.29,36.94,56,-0.200,-0.100,0.000
KRW-SOL,-49.41,-1.64,92.84,76,-0.250,-0.100,0.000
KRW-SUI,61.87,54.41,63.96,11,-0.100,-0.070,0.000
KRW-XRP,222.71,87.18,123.96,97,-0.300,-0.100,0.020
