coin,freq_minutes,pnl_pct,max_dd_pct,n_buys,n_sells,final_krw
KRW-ADA,480,8.690,-13.011,14,7,10869007
KRW-ADA,240,0.868,-17.940,14,7,10086786
KRW-ADA,120,0.623,-18.483,14,7,10062275
KRW-ADA,1440,9.475,-19.344,13,7,10947518
KRW-ADA,720,-3.323,-18.790,13,7,9667695
KRW-AVAX,60,19.205,-12.458,9,7,11920494
KRW-AVAX,240,20.918,-12.202,9,7,12091771
KRW-AVAX,480,28.062,-11.436,9,7,12806195
KRW-AVAX,30,10.568,-11.695,9,7,11056845
KRW-AVAX,1440,-9.050,-22.728,8,6,9095027
KRW-AVAX,720,0.245,-19.484,8,6,10024458
KRW-AVAX,120,18.636,-12.792,9,7,11863576
KRW-ADA,60,3.175,-18.586,14,8,10317509
KRW-AVAX,15,10.465,-11.750,9,7,11046506
KRW-BTC,30,4.176,-13.051,7,2,10417636
KRW-BTC,240,2.923,-12.805,7,2,10292322
KRW-BTC,1440,13.420,-11.830,6,1,11342022
KRW-BTC,120,3.165,-12.576,7,2,10316482
KRW-BTC,720,1.164,-12.757,7,2,10116398
KRW-ADA,30,0.418,-18.717,14,8,10041817
KRW-BTC,60,3.091,-12.857,7,2,10309099
KRW-BTC,15,4.277,-13.007,7,2,10427672
KRW-DOGE,60,31.940,-13.338,10,8,13193980
KRW-DOGE,720,14.801,-14.063,10,7,11480085
KRW-DOGE,480,23.807,-14.567,10,8,12380688
KRW-DOGE,1440,10.453,-18.384,9,5,11045313
KRW-DOGE,240,29.414,-13.747,10,8,12941362
KRW-DOGE,120,29.319,-13.845,10,8,12931928
KRW-DOGE,15,30.901,-13.833,10,8,13090127
KRW-DOT,30,-4.412,-23.335,12,7,9558792
KRW-DOT,480,-7.711,-23.201,12,7,9228853
KRW-DOT,240,-7.850,-23.607,12,7,9215039
KRW-DOT,120,-6.283,-23.186,12,7,9371675
KRW-DOT,720,-14.374,-27.746,12,7,8562600
KRW-DOT,1440,-11.090,-23.979,12,7,8891048
KRW-DOT,60,-6.490,-23.156,12,7,9351005
KRW-BTC,480,2.023,-12.520,7,2,10202313
KRW-DOGE,30,34.881,-13.307,10,8,13488056
KRW-DOT,15,0.117,-23.508,12,7,10011746
KRW-ADA,15,-7.635,-21.266,14,8,9236474
KRW-ETH,480,5.682,-17.844,10,5,10568163
KRW-ETH,1440,14.871,-27.031,10,4,11487055
KRW-ETH,720,15.717,-18.550,9,5,11571706
KRW-ETH,30,9.768,-16.496,10,5,10976753
KRW-ETH,240,9.576,-16.221,10,5,10957631
KRW-ETH,120,8.764,-16.317,10,5,10876400
KRW-LINK,60,-5.090,-20.781,5,4,9491015
KRW-LINK,480,2.992,-14.003,5,4,10299248
KRW-ETH,60,9.223,-16.295,10,5,10922335
KRW-LINK,720,-5.306,-20.832,5,4,9469363
KRW-ETH,15,10.704,-16.482,10,5,11070404
KRW-LINK,240,-3.435,-19.158,5,4,9656496
KRW-LINK,120,-5.195,-20.768,5,4,9480457
KRW-LINK,1440,-5.726,-20.942,5,4,9427449
KRW-LINK,15,12.925,-12.963,5,4,11292519
KRW-SOL,120,41.331,-8.058,8,5,14133056
KRW-LINK,30,12.827,-12.978,5,4,11282663
KRW-SOL,30,45.198,-6.984,8,5,14519786
KRW-SOL,240,40.895,-8.058,8,5,14089520
KRW-SOL,720,30.791,-10.813,8,5,13079094
KRW-SOL,1440,36.169,-10.684,8,5,13616850
KRW-SOL,60,47.225,-6.567,8,5,14722525
KRW-SOL,15,33.585,-7.524,8,5,13358485
KRW-SUI,60,45.792,-18.985,10,8,14579240
KRW-SUI,30,43.228,-19.248,10,8,14322788
KRW-SUI,240,42.327,-20.014,10,8,14232738
KRW-SUI,1440,106.693,-22.608,10,7,20669324
KRW-SUI,720,71.979,-18.662,10,8,17197930
KRW-SUI,120,42.904,-20.070,10,8,14290415
KRW-SUI,480,79.086,-19.895,10,8,17908587
KRW-SOL,480,40.611,-6.888,8,5,14061057
KRW-XRP,120,31.197,-10.502,9,7,13119674
KRW-XRP,60,12.358,-13.192,9,8,11235803
KRW-SUI,15,43.618,-19.681,10,8,14361791
KRW-XRP,240,20.734,-14.007,9,8,12073433
KRW-XRP,1440,25.065,-20.302,9,7,12506456
KRW-XRP,720,38.620,-13.872,9,7,13861955
KRW-XRP,480,27.058,-10.472,9,7,12705810
KRW-XRP,30,15.080,-12.871,9,8,11507967
KRW-XRP,15,15.451,-13.025,9,8,11545144
