coin,cycle_hours,pnl_pct,max_dd_pct,n_buys,n_sells,final_krw
KRW-ADA,48,134.608,-35.112,50,30,23460797
KRW-ADA,24,203.653,-36.196,82,41,30365251
KRW-ADA,12,32.752,-51.877,154,61,13275180
KRW-AVAX,48,-19.052,-31.777,17,11,8094778
KRW-AVAX,24,12.231,-23.344,36,23,11223050
KRW-ADA,8,62.049,-58.210,191,69,16204916
KRW-AVAX,12,-37.813,-48.086,67,31,6218694
KRW-AVAX,8,37.918,-29.032,81,35,13791751
KRW-BTC,24,450.586,-36.119,92,31,55058617
KRW-BTC,12,174.620,-39.019,167,41,27462020
KRW-BTC,48,559.447,-20.358,54,24,65944747
KRW-BTC,8,395.981,-42.815,192,46,49598067
KRW-DOGE,48,3.955,-23.026,24,17,10395485
KRW-DOGE,12,55.409,-42.643,105,34,15540889
KRW-AVAX,4,-6.747,-40.741,136,46,9325297
KRW-DOGE,8,23.404,-43.829,119,38,12340410
KRW-DOGE,24,-9.732,-37.086,43,22,9026796
KRW-BTC,4,108.558,-45.635,268,59,20855788
KRW-DOT,24,-25.801,-36.250,55,20,7419881
KRW-DOT,8,-48.745,-73.704,133,42,5125469
KRW-DOT,48,7.437,-26.102,28,16,10743743
KRW-DOT,12,-27.396,-51.530,97,30,7260360
KRW-DOT,4,-49.498,-68.741,172,50,5050215
KRW-ETH,12,23.830,-61.371,162,53,12382962
KRW-ETH,8,48.246,-63.691,204,58,14824641
KRW-DOGE,4,136.490,-38.461,176,50,23649050
KRW-ETH,48,69.453,-30.353,56,29,16945319
KRW-ADA,4,39.590,-52.174,288,89,13958968
KRW-ETH,24,31.900,-46.319,100,41,13189982
KRW-LINK,12,-33.936,-53.436,91,39,6606380
KRW-LINK,8,-4.357,-40.546,110,44,9564332
KRW-ETH,4,122.408,-64.165,277,76,22240760
KRW-LINK,48,18.079,-16.403,22,12,11807934
KRW-LINK,4,36.467,-39.036,166,54,13646690
KRW-SOL,48,77.153,-43.409,28,16,17715322
KRW-SOL,24,110.490,-32.054,51,22,21049008
KRW-SOL,12,-8.825,-39.842,79,33,9117453
KRW-LINK,24,-2.836,-24.994,49,29,9716366
KRW-SUI,48,7.840,-13.959,7,5,10784050
KRW-SUI,24,17.688,-16.372,13,10,11768847
KRW-SUI,12,-1.431,-26.532,35,20,9856883
KRW-SUI,8,-39.565,-45.417,53,23,6043543
KRW-SOL,8,-27.250,-58.878,110,37,7275043
KRW-XRP,48,272.790,-37.673,59,29,37279009
KRW-XRP,24,222.768,-47.459,112,45,32276778
KRW-XRP,12,63.125,-62.459,176,55,16312541
KRW-SUI,4,-48.049,-55.686,86,35,5195105
KRW-XRP,8,29.827,-59.074,204,65,12982661
KRW-SOL,4,0.887,-50.358,153,49,10088715
KRW-XRP,4,67.098,-67.038,289,71,16709778
