coin,mode,days,hold_pnl_pct,pnl_pct,max_dd_pct,n_longs,n_shorts,final_krw
KRW-ADA,long,3116,1644.73,0.61,-43.38,34,0,10061307
KRW-ADA,long_short,3116,1644.73,-3.41,-57.27,34,2,9659001
KRW-ADA,short,3116,1644.73,-4.00,-24.53,0,2,9600146
KRW-AVAX,long,1530,-86.83,-16.75,-27.16,13,0,8324612
KRW-AVAX,long_short,1530,-86.83,-12.42,-33.41,13,1,8758438
KRW-AVAX,short,1530,-86.83,8.17,-22.07,0,1,10816573
KRW-BTC,long,3127,2504.66,21.38,-22.95,21,0,12138214
KRW-BTC,long_short,3127,2504.66,-38.01,-66.88,20,9,6199249
KRW-BTC,short,3127,2504.66,-42.77,-58.09,0,9,5723345
KRW-DOGE,long,1879,118.58,36.03,-20.15,18,0,13603308
KRW-DOGE,long_short,1879,118.58,36.03,-20.15,18,0,13603308
KRW-DOGE,short,1879,118.58,0.00,0.00,0,0,10000000
KRW-DOT,long,2021,-60.66,15.57,-25.94,17,0,11556971
KRW-DOT,long_short,2021,-60.66,15.57,-25.94,17,0,11556971
KRW-DOT,short,2021,-60.66,0.00,0.00,0,0,10000000
KRW-ETH,long,3127,972.47,-2.25,-35.31,20,0,9774564
KRW-ETH,long_short,3127,972.47,-26.49,-44.14,20,7,7350862
KRW-ETH,short,3127,972.47,-24.80,-43.59,0,7,7520436
KRW-LINK,long,2083,17.91,1.28,-27.03,16,0,10127827
KRW-LINK,long_short,2083,17.91,1.28,-27.03,16,0,10127827
KRW-LINK,short,2083,17.91,0.00,0.00,0,0,10000000
KRW-SOL,long,1646,-36.13,51.30,-24.41,19,0,15129781
KRW-SOL,long_short,1646,-36.13,51.30,-24.41,19,0,15129781
KRW-SOL,short,1646,-36.13,0.00,0.00,0,0,10000000
KRW-SUI,long,1080,-20.02,33.43,-27.15,12,0,13343239
KRW-SUI,long_short,1080,-20.02,27.00,-45.54,12,3,12699788
KRW-SUI,short,1080,-20.02,-4.82,-31.02,0,3,9517770
KRW-XRP,long,3127,945.26,136.10,-23.52,28,0,23610259
KRW-XRP,long_short,3127,945.26,154.36,-39.99,28,3,25436141
KRW-XRP,short,3127,945.26,7.73,-25.51,0,3,10773265
