coin,mode,days,hold_pnl_pct,pnl_pct,max_dd_pct,n_longs,n_shorts,final_krw
KRW-ADA,long,59,-8.47,0.00,0.00,0,0,10000000
KRW-ADA,long_short,59,-8.47,0.00,0.00,0,0,10000000
KRW-ADA,short,59,-8.47,0.00,0.00,0,0,10000000
KRW-AVAX,long,59,5.68,0.00,0.00,0,0,10000000
KRW-AVAX,long_short,59,5.68,0.00,0.00,0,0,10000000
KRW-AVAX,short,59,5.68,0.00,0.00,0,0,10000000
KRW-BTC,long,59,14.15,0.00,0.00,0,0,10000000
KRW-BTC,long_short,59,14.15,0.00,0.00,0,0,10000000
KRW-BTC,short,59,14.15,0.00,0.00,0,0,10000000
KRW-DOGE,long,59,-2.84,0.00,0.00,0,0,10000000
KRW-DOGE,long_short,59,-2.84,0.00,0.00,0,0,10000000
KRW-DOGE,short,59,-2.84,0.00,0.00,0,0,10000000
KRW-DOT,long,59,-2.10,-0.86,-3.61,1,0,9914430
KRW-DOT,long_short,59,-2.10,-0.86,-3.61,1,0,9914430
KRW-DOT,short,59,-2.10,0.00,0.00,0,0,10000000
KRW-ETH,long,59,20.11,0.00,0.00,0,0,10000000
KRW-ETH,long_short,59,20.11,0.00,0.00,0,0,10000000
KRW-ETH,short,59,20.11,0.00,0.00,0,0,10000000
KRW-LINK,long,59,8.50,0.00,0.00,0,0,10000000
KRW-LINK,long_short,59,8.50,0.00,0.00,0,0,10000000
KRW-LINK,short,59,8.50,0.00,0.00,0,0,10000000
KRW-SOL,long,59,6.09,0.00,0.00,0,0,10000000
KRW-SOL,long_short,59,6.09,0.00,0.00,0,0,10000000
KRW-SOL,short,59,6.09,0.00,0.00,0,0,10000000
KRW-SUI,long,59,3.52,0.00,0.00,0,0,10000000
KRW-SUI,long_short,59,3.52,0.00,0.00,0,0,10000000
KRW-SUI,short,59,3.52,0.00,0.00,0,0,10000000
KRW-XRP,long,59,0.52,0.00,0.00,0,0,10000000
KRW-XRP,long_short,59,0.52,0.00,0.00,0,0,10000000
KRW-XRP,short,59,0.52,0.00,0.00,0,0,10000000
